TargetName	Module	CodeClass	GeneID	SystematicName	Negative
LAMA3	Hs_R_NGS_WTA_v1.0	Endogenous	3909	LAMA3	FALSE
LAMB3	Hs_R_NGS_WTA_v1.0	Endogenous	3914	LAMB3	FALSE
LCAT	Hs_R_NGS_WTA_v1.0	Endogenous	3931	LCAT	FALSE
SGCG	Hs_R_NGS_WTA_v1.0	Endogenous	6445	SGCG	FALSE
SGCB	Hs_R_NGS_WTA_v1.0	Endogenous	6443	SGCB	FALSE
LHCGR	Hs_R_NGS_WTA_v1.0	Endogenous	3973	LHCGR	FALSE
LIG1	Hs_R_NGS_WTA_v1.0	Endogenous	3978	LIG1	FALSE
LIPA	Hs_R_NGS_WTA_v1.0	Endogenous	3988	LIPA	FALSE
LIPC	Hs_R_NGS_WTA_v1.0	Endogenous	3990	LIPC	FALSE
LYZ	Hs_R_NGS_WTA_v1.0	Endogenous	4069	LYZ	FALSE
MEFV	Hs_R_NGS_WTA_v1.0	Endogenous	4210	MEFV	FALSE
MLH1	Hs_R_NGS_WTA_v1.0	Endogenous	4292	MLH1	FALSE
MSH2	Hs_R_NGS_WTA_v1.0	Endogenous	4436	MSH2	FALSE
MTM1	Hs_R_NGS_WTA_v1.0	Endogenous	4534	MTM1	FALSE
MTTP	Hs_R_NGS_WTA_v1.0	Endogenous	4547	MTTP	FALSE
MTR	Hs_R_NGS_WTA_v1.0	Endogenous	4548	MTR	FALSE
MMUT	Hs_R_NGS_WTA_v1.0	Endogenous	4594	MMUT	FALSE
MYBPC3	Hs_R_NGS_WTA_v1.0	Endogenous	4607	MYBPC3	FALSE
MYH7	Hs_R_NGS_WTA_v1.0	Endogenous	4625	MYH7	FALSE
MYL3	Hs_R_NGS_WTA_v1.0	Endogenous	4634	MYL3	FALSE
MYO5A	Hs_R_NGS_WTA_v1.0	Endogenous	4644	MYO5A	FALSE
MYOC	Hs_R_NGS_WTA_v1.0	Endogenous	4653	MYOC	FALSE
NAGA	Hs_R_NGS_WTA_v1.0	Endogenous	4668	NAGA	FALSE
NAGLU	Hs_R_NGS_WTA_v1.0	Endogenous	4669	NAGLU	FALSE
PTCH1	Hs_R_NGS_WTA_v1.0	Endogenous	5727	PTCH1	FALSE
NCF1	Hs_R_NGS_WTA_v1.0	Endogenous	653361, 654817	NCF1, NCF1C	FALSE
NDP	Hs_R_NGS_WTA_v1.0	Endogenous	4693	NDP	FALSE
NF1	Hs_R_NGS_WTA_v1.0	Endogenous	4763	NF1	FALSE
PNP	Hs_R_NGS_WTA_v1.0	Endogenous	4860	PNP	FALSE
NPC1	Hs_R_NGS_WTA_v1.0	Endogenous	4864	NPC1	FALSE
GPR143	Hs_R_NGS_WTA_v1.0	Endogenous	4935	GPR143	FALSE
OAT	Hs_R_NGS_WTA_v1.0	Endogenous	4942	OAT	FALSE
OCA2	Hs_R_NGS_WTA_v1.0	Endogenous	4948	OCA2	FALSE
OCRL	Hs_R_NGS_WTA_v1.0	Endogenous	4952	OCRL	FALSE
