Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	CellType
RPS2	0.6136394171049853	9.267072601769167	4.787773370732499	3.1404896549150567e-6	3.9382782024361573e-4	4.200693957286945	glomeruli
CD164	-0.7742516712327551	7.268420498216168	-4.731699470695785	4.037321532014331e-6	4.877862689522857e-4	4.040972326587042	glomeruli
DDX3Y	1.1157744674828776	5.788782065100235	4.745080368082621	3.8031704829482357e-6	4.708418963333939e-4	4.018548209319277	glomeruli
VAMP5	-0.6444832598152244	7.3941778276919985	-4.72321413775519	4.19294973140816e-6	4.946694106654239e-4	3.992690576769437	glomeruli
ARF1	-0.5990582688068303	8.84539964052482	-4.727872298992834	4.106812301799329e-6	4.902751638386151e-4	3.948973585307879	glomeruli
VEGFA	-1.061906456963791	9.540794486282625	-4.736488524592003	3.95196289856531e-6	4.8329614569284063e-4	3.899103797523729	glomeruli
TSPAN2	-0.9158996433349316	6.189849880925858	-4.660877846422019	5.527449827404689e-6	6.430031830866834e-4	3.757216650393577	glomeruli
APLP1	-0.7578291143196485	6.366866508710853	-4.6587929765795595	5.578507870815861e-6	6.430031830866834e-4	3.7503700299622826	glomeruli
PDE4DIP	-0.7525900443024662	6.95443246187331	-4.645872702147237	5.905209121751307e-6	6.653644614935069e-4	3.6911590954794953	glomeruli
ARHGAP5	-0.7783435495225692	6.659968086027136	-4.626996913392646	6.415850443693104e-6	7.070126181247742e-4	3.622897416693248	glomeruli
MYL12B	-0.5784693939693784	8.80661004959938	-4.637843748538126	6.117436850339192e-6	6.816184081689046e-4	3.58274787615625	glomeruli
TNS2	-0.6330863424054144	8.026251746169013	-4.601610725307764	7.170090819125936e-6	7.779140858782145e-4	3.4541502913738844	glomeruli
TGFBR2	-0.8501752621941346	8.417992136952762	-4.60020054087674	7.214400676772432e-6	7.779140858782145e-4	3.4220431728629173	glomeruli
USP46	-0.6659837931780423	6.877281679947147	-4.577875180892213	7.952026566765195e-6	8.351528046683394e-4	3.414165682525537	glomeruli
TMSB4X	-0.6354000962839575	10.96399375577764	-4.6506132361631405	5.783254098312279e-6	6.59028092021313e-4	3.4084051854271555	glomeruli
GNAS	-0.6213799440628281	8.528123324716324	-4.566860529499596	8.342186249290353e-6	8.624272547204501e-4	3.3059314249521945	glomeruli
BGN	-0.9023645784517885	8.864007322221445	-4.5797684640880725	7.886756778775046e-6	8.351528046683394e-4	3.29029392996401	glomeruli
NPNT	-0.757907418354132	8.9735644425344	-4.576634479284899	7.995080698859252e-6	8.351528046683394e-4	3.2585587898577195	glomeruli
APMAP	-0.6279799703122451	7.175271143454492	-4.531081695952198	9.740770247218524e-6	9.671331092980927e-4	3.23202950384412	glomeruli
ESM1	-1.194987032321339	6.44184677233729	-4.526451765986076	9.937452649479929e-6	9.685233119548196e-4	3.219963037225588	glomeruli
KLF4	0.9714181127617991	6.380359879779593	4.526207469953809	9.947935892635264e-6	9.685233119548196e-4	3.2194070827018377	glomeruli
HNRNPA2B1	-0.5839381351032724	9.65124410770014	-4.55683143368735	8.713410467409381e-6	8.916130629304212e-4	3.197226881098068	glomeruli
PLA2R1	-0.7461660241721669	8.236233655161854	-4.546523709215679	9.111491815901823e-6	9.137003992986348e-4	3.174528877714889	glomeruli
NFE2L1	-0.631201973299307	7.89059840583992	-4.523333223172909	1.007207721236569e-5	9.711806758231071e-4	3.171329313222431	glomeruli
THSD7A	-0.8330773329602812	6.89169373243374	-4.514909166699875	1.0444561715524313e-5	9.97505379840741e-4	3.1680403754852886	glomeruli
IL1RL1	-1.4841950554752459	8.114492744759202	-4.548358640629848	9.039369863271652e-6	9.137003992986348e-4	3.1528159812856487	glomeruli
NTN4	-0.8971565279592209	7.548102545949609	-4.4950102851251454	1.1377762069433992e-5	0.0010763792267196612	3.0635645125990694	glomeruli
PALLD	-0.6658632570454215	7.071346542818093	-4.464524438267224	1.2964603760555198e-5	0.0012145984849000282	2.960912132189425	glomeruli
NTNG1	-0.7321832566070325	6.943794823431056	-4.462431102032985	1.3081036734064923e-5	0.0012145984849000282	2.9400754014665624	glomeruli
